UserID,Timestamp pregame,Gender,Age,How often do you play computer games or board games,Do you rely on Large language models in your (professional/school) work,Do you use also use Large language models for entertainment in your free time,Which of these aspects do you enjoy in games,Have you played any of these games or similar,Are there times when you are missing players to start a group gaming session,How many players do you miss most of the time,Did you think about the utility of Large language models in games before? If so briefly describe your ideas.,Did you come across games utilizing AI and if so did you enjoy the experience. (What was the game called and did you enjoy the experience?) ,What is your attitude towards using Large language models in games,Timestamp postgame,Did you feel that other players changed their behavior during the game,Did you feel that discussion affected how players played,"Describe your strategy,  how did it change over time ","Describe the strategies you observed in other players, how did it change over time",Aspects that you enjoyed,Aspects you found annoying/boring,Which parts would you change,Do you see potential in substitute players powered by Artificial Intelligence,You overall enjoyment of the experience
2712665461,4/20/2026 14:31:06,Male,20-34,Weekly,5,4,"Strategy and planning, Negotiation, Interacting with other players","Among Us, Coup, Secret Hitler, Liar's bar",2,1-2,Perhaps,Kinda,3,4/20/2026 14:51:23,4,3,I will lied,I tried to be safe and they just killed me,Gold Gold Gold Gold Gold,Cant see how many ships I have sent to war / explloring after sending them,Baack button,4,3
286975685,5/1/2026 22:13:42,Male,50+,Rarely (a few times a year),1,1,"Strategy and planning, Interacting with other players",Bang,3,1-2,No I didn't,No,2,5/1/2026 22:26:05,3,3,I changed my ship counts to be unpredictable and always join the side I assumed would win the attack,"Blue was the most dynamic one, Yellow lost the game to let Green win",I enjoyed the tension and reveal of battles,Green and yellow were too passive and predictable,I would make the game more dynamic,3,4
3205572289,4/22/2026 12:01:56,Male,20-34,Daily,2,1,Strategy and planning,no,1,,no,no,2,5/2/2026 10:53:23,4,4,I lied in the first round and they caught me so I apologized,They formed an alliance and bullied me,Visuals,Players teamed up on me,More use for gold,3,4
3806666145,4/20/2026 13:29:19,Male,20-34,Daily,4,3,"Strategy and planning, Interacting with other players, Deception and bluffing",Liar's bar,3,1-2,could be used to realistically mimic NPC dialogs in story based games,"AI is part of games for a long time, really good game with AI is openfront.io",3,4/20/2026 13:35:52,3,5,"during attacking phase, just invite everyone and attack the person with largest amount of gold, other players join even though i attacked them previous round",other players chose the target based on the amount of gold,"concept, the game was fun but lacks multiplayer","clicking through the whole process of round, i select the amount of ships, then click okay, then see animation and have to click ""Continue"" again, also choosing the attacker randomly was annoying","i would add real players multiplayer, some update system where you could sacrifice some gold for more ships or basic defense of your town",4,5
4123151899,4/20/2026 19:46:52,Male,20-34,Weekly,4,3,"Strategy and planning, Negotiation, Diplomacy and alliances",Among Us,4,1-2,no,no,4,4/20/2026 19:41:55,5,4,"play along with alliance, then break it ",building alliance and then winning ,"the unknown, strategy ",no music in background ,-,5,5
4249857079,4/24/2026 14:22:45,Male,20-34,Daily,4,4,"Strategy and planning, Interacting with other players, Diplomacy and alliances","Among Us, Goose Goose Duck",5,1-2,"they could be more human-like than bots, so it would be better, but I think it still takes some time to get to that point",No I did not yet,2,4/24/2026 16:03:05,5,4,"I decieved the first round, they turned on me after that, I tried to encourage them against one of them but they all turned on me anyways","They saw I lied, they stopped trusting me. They only wanted my help later when they had no other choice.",Playing with LLMS in this type of game is def. more interesting than real players or bots. I didnt expect it before playing.,"One time, waiting for AI choice took very long, but it could have been my wifi or a bug","It was like 3 or 4 rounds only for me, I dont think thats long enough for me to observe or change tactcis, at least 30 gold would be better ",5,5
4255644140,5/1/2026 21:49:40,Female,50+,Daily,1,1,"Strategy and planning, Interacting with other players",no,4,3-4,no,no,3,5/1/2026 22:11:10,4,4,"first I kept exploring and when it was obvious that I am the target no matter what, I kept all ships home, which didn't help me at all",yellow and green were stable and predictable during the whole game and blue changed strategy to the end,it was interesting and I was curious how the game will proceed,I became the target from the beginning and there was no chance for me to win,nothing,3,5
499432913,4/20/2026 13:18:57,Male,20-34,Daily,5,2,"Strategy and planning, Deception and bluffing","Among Us, Liar's bar",4,1-2,Perhaps NPC's in RPG games,Cant recall precise games,3,4/20/2026 13:42:21,4,5,"I wanted to befreind everyone, I even put up a great speach in the beginning. At first they ignored me, then they collectively started attacking me cause 'I lied'. Didn't quite work out, I tried convicing them to attack the player with most gold. ","I wanted to befreind everyone, I even put up a great speach in the beginning. At first they ignored me, then they collectively started attacking me cause 'I lied'. Even tho I attacked with 0 ships. Like wth they just hate me fr. Even after like 5 rounds they still choose to attack me over Blue who was one gold away from winning, cause 'I was the most erractic lying player, disrupting the balance of the game' >:(",Gameplay loop,"Yellow, **** ****",Yellow,4,4
508729144,4/20/2026 18:05:30,Male,20-34,Daily,5,5,"Strategy and planning, Negotiation, Deception and bluffing","Among Us, Liar's bar",4,1-2,"yes, as substitute for other players",csgo bots,3,4/20/2026 18:26:39,4,4,"I was trying to be aggressive from start to form Powerfull aliance, yet noone helped me. As for the team i firstly attacked, all 3 other players were against me. Then i persuade one of them that if he keeps helping other player, he will loose. So he joined me and we formed aliance. Sadly after defeating yellow , my aliance member achieved 20gold before me because he choose too many ships to explore","Green was totally dumb, because in last fight where if yellow wins, then it will be game over, even after pointing this out, he keeps helping yellow and if blue didnt helped me, it will be game over and yellow will be winner. If green would help me, we would split the gold and blue wouldnt win like that. It was no brainer to help me, yet it choosed wrong path to take and lost",I like that strategies implemented,Its fun,Highlight with different colour which player im choosing to aliance with or attack. Right now its white and the highlight is easily overlooked,5,5
761034477,4/23/2026 10:58:53,Male,20-34,Occasionally (1–3 times a month),4,3,"Strategy and planning, Diplomacy and alliances","Among Us, Secret Hitler",5,1-2,NPCs dialogs,no,5,4/23/2026 11:38:12,5,5,First round: 5 for exploration. Next rounds: keep ships home and try to steal gold.,"As expected: allies against the strongest. I was angry that in the last round, Green chose to defend against my attack on Red, even though we both(me and Red) had 19 gold.",Their reasoning was nice.,"I thought they would experiment more, like I did. But I lost, so it makes sense, I guess.","Maybe more rounds of dialogue before an attack, so that decisions can be influenced.",5,5
930580324,5/2/2026 14:03:48,Female,50+,Occasionally (1–3 times a month),4,1,"Strategy and planning, Interacting with other players, Deception and bluffing",No,4,1-2,Not really,No,3,5/2/2026 14:09:19,1,1,I had to attack first and became an aggressor for all of them,The AIs actually made me angry as I did not choose to attack first but after that I had no chance anymore as I was the bad guy for them,Could be quite funny if I was not attacked all the time,Once you attack you have no chance to win,Maybe the attack could be optional,3,4
